SI000001	DEFAULT
SI000075	"scn SCPTOnAVChangeBasePerks

begin function {int iAV, float fOld, float fNew}
	ref rItem = player.geteqobj 5
	if isformvalid rItem == 0
		return
	endif
	if player.hasperk WeaponHandling
		if eval player.getav (GetWeaponSkill rItem) >= ((GetReqSkill rItem) * 2) || player.getav (GetWeaponSkill rItem) >= 95
			sssQSTBaseGamePerksStartup.bWeaponHandlingDouble = 1
		else
			sssQSTBaseGamePerksStartup.bWeaponHandlingDouble = 0
		endif
	endif

end"
SI000076	"scn FerociousLoyaltyScript

array_var aEntry
ref rRef
int bInCombat
int bActive

Begin GameMode
	if player.isincombat
		if bInCombat == 0
			bInCombat = 1
		endif
		if eval bActive == 0 && player.gethealthpercentage < 0.5
			bActive = 1
			foreach aEntry <- (player.getteammates)
				let rRef := *aEntry
				rRef.AddSpell FerociousLoyaltyEffect
				ListAddForm FLSTFerociousCompanions rRef
			loop
		elseif eval bActive && player.gethealthpercentage > 0.49
			bActive = 0
			foreach aEntry <- (player.getteammates)
				let rRef := *aEntry
				rRef.RemoveSpell FerociousLoyaltyEffect
				ListRemoveForm FLSTFerociousCompanions rRef
			loop
		endif
	elseif eval player.isincombat == 0
		if bInCombat
			bInCombat = 0
			foreach aEntry <- (player.getteammates)
				let rRef := *aEntry
				rRef.RemoveSpell FerociousLoyaltyEffect
				ListRemoveForm FLSTFerociousCompanions rRef
			loop
		endif
		if ListGetCount FLSTFerociousCompanions > 0
			foreach aEntry <- (player.getteammates)
				let rRef := *aEntry
				rRef.RemoveSpell FerociousLoyaltyEffect
				ListRemoveForm FLSTFerociousCompanions rRef
			loop
		endif
	endif
End"
SI000077	Life Giver
SI000078	Solar Powered
SI000079	Iron Fist (1)
SI000080	Crit. Rad Poison.
SI000081	Minor Rad Poison.
SI000082	Adv. Rad Poison.
SI000083	Deadly Rad Poison.
SI000084	Strong Back
SI000085	Rad. Limb Healing
SI000086	Night Person
SI000087	Ant Strength
SI000088	Ant Senses
SI000089	Small Frame Agility Boost
SI000090	Good Natured
SI000091	Ferocious Loyalty
SI000092	Poison Resistance
SI000093	Spineless Strength
SI000094	Early Bird Bonus
SI000095	Reinforced Spine
SI000096	Alertness
SI000097	Walker Instinct
SI000098	Thought You Died
SI000099	Arcade Skill Bonus
SI000100	Rip N' Tear
SI000101	Light Touch
SI000102	Educated
SI000103	Black Widow
SI000104	Cherchez La Femme
SI000105	Confirmed Bachelor
SI000106	Lady Killer
SI000107	Action Star AP Boost
SI000108	Non Ducor Duco
SI000109	Mysterious Stranger
SI000110	Child At Heart
SI000111	Terrifying Presence
SI000112	Irradiated Beauty
SI000113	Burden To Bear
SI000114	Ain't Like That Now
SI000115	Brainless
SI000116	Heartless
SI000117	Big Brained
SI000118	Cardiac Arrest
SI000119	Iron Fist (1)
SI000120	Meltdown
SI000121	Life Giver
SI000122	StartQuest QSTActionStar
SI000123	StartQuest QSTActionStar
SI000124	StartQuest QSTActionStar
SI000125	Set cdrAnimalLoot to 5
SI000126	Set cdrInsectLoot to 5
SI000127	Set cdrMutantLoot to 5
SI000128	Hematophage
SI000129	You've gained a taste... for human blood! When you're in Sneak mode, you gain the option to drink blood from a corpse to regain Health and restore dehydration and sleep deprivation equal to the sum of your Endurance and Agility. But every time you drink blood, you will you lose a small amount of Karma and suffer radiation damage.
SI000130	Drink Blood
SI000131	Call HematophageUDFS6S
SI000132	Child at Heart
SI000133	The Child at Heart trait greatly improves your interactions with children, usually in the form of unique dialogue choices, at the cost of -5 Speech when not speaking with a child.
SI000134	Rad Regeneration
SI000135	After an experimental treatment, intense radiation keeps your body operating at peak performance regardless of crippling injuries... right up until death. When you suffer from Advanced Radiation Poisoning and being actively irradiated, crippled limbs automatically regenerate.
SI000136	Dream Crusher
SI000137	Something about your presence dampens others' desires to exceed. Your enemy's chance of getting critical hits on you is multiplied by .1 for each point your Charisma is below 10based on how low your Charisma is below 10.
SI000138	Scrounger
SI000139	With the Scrounger perk, you'll find considerably more ammunition in containers than you normally would.
SI000140	Demolition Expert
SI000141	With each rank of this perk, all of your Explosives weapons do an additional 10% damage and have 10% larger area of effect.
SI000142	Extracurricular Knowledge
SI000143	"Selecting Extracurricular Knowledge will allow you to save a perk point for later, but you will be forced to take a new trait. This can be done multiple times.
Your perk point can be used by activating this perk in the Pip-Boy."
SI000144	Mister Sandman
SI000145	With the Mister Sandman perk, when you're in Sneak mode, you gain the option to silently kill any human or Ghoul while they're sleeping, and you gain bonus XP when doing so.
SI000146	Murder
SI000147	"SetUnconscious 1
StartMisterSandman Player
RewardXp 50
ModPCMiscStat ""Sandman Kills"" 1"
SI000148	Life Giver
SI000149	With the Life Giver perk, you and your companions gain an additional 30 health.
SI000150	Silent Running
SI000151	With the Silent Running perk, running no longer factors into a successful sneak attempt. The second rank grants an additional +2% sneaking speed per each 10 points in Sneak.
SI000152	Sniper
SI000153	With the Sniper perk, your chance to hit an opponent's head in V.A.T.S. is increased by 25%, and your crit. chance is increased by 25% while using a scope and crouched.
SI000154	Animal Friend
SI000155	With the Animal Friend trait, animals come to your aid in combat, but never against another animal, and your weapon damage is reduced by 50% against animals, mutated animals, and mutated insects.
SI000156	Light Step
SI000157	With the Light Step perk, your chance to set off mines and floor-based traps while sneaking is reduced by 10% per point of Agility. This effect is multiplicative, with a minimum chance to set off traps of 35%.
SI000158	Action Boy
SI000159	With the Action Boy perk, you gain an additional 15 Action Points to use in V.A.T.S.
SI000160	Better Criticals
SI000161	With the Better Criticals perk, you gain a 3% critical damage bonus per point of Perception.
SI000162	Mysterious Stranger
SI000163	You've gained your own personal guardian angel... armed with a fully loaded .44 Magnum. For a cost of -1 Luck, the Mysterious Stranger will appear occasionally during V.A.T.S. to lend a hand, with deadly efficiency.
SI000164	Robotics Expert
SI000165	With the Robotics Expert perk, you do an additional 7% damage per 10 points in Science above 50 to robots. In addition, activating a hostile robot while undetected will allow you to put that robot into a permanent shutdown state.
SI000166	Deactivate
SI000167	"SetUnconscious 1
player.rewardxp 10
ModPCMiscStat ""Robots Disabled"" 1"
SI000168	Computer Whiz
SI000169	Fail a hack attempt and get locked out of a computer? Not if you're a Computer Whiz! With this perk, you can attempt to re-hack any computer you were previously locked out of.
SI000170	Solar Powered
SI000171	With the Solar Powered trait, you gain an additional point in Strength, Agility, and Endurance while in sunlight, but you suffer -1 to these stats while indoors or during the night.
SI000172	Ninja
SI000173	The Ninja perk grants you the power of the fabled shadow warriors. When attacking with either Melee or Unarmed, you gain a +15% critical chance on every strike. Sneak attack criticals do 25% more damage than normal.
SI000174	Swift Learner
SI000175	The Swift Learner perk grants an additional 2% gained XP per point in Intelligence.
SI000176	Educated
SI000177	With the Educated trait, your book-smarts grant you a random free skill point every , but your Survival skill is reduced by 30, since you're not street-smart.
SI000178	Entomologist
SI000179	With the Entomologist perk, you do an additional +50% damage every time you attack a mutated insect, like the Radroach, Giant Mantis, or Radscorpion, and you are able to find more of their parts in loot.
SI000180	Strong Back
SI000181	With the Strong Back perk, you can carry 4 more pounds of equipment for each point of both Strength and Endurance, up to a maximum of +80 lbs.
SI000182	Toughness
SI000183	With the Toughness perk, you gain +1 Damage Threshold per point in Endurance.
SI000184	Comprehension
SI000185	With the Comprehension perk, you gain double the bonus from reading magazines and one additional point from skill books.
SI000186	Fortune Finder
SI000187	With the Fortune Finder perk, you'll find considerably more bottle caps in containers than you normally would.
SI000188	Explorer
SI000189	When you have the Explorer perk, every location in the world is revealed on your map.
SI000190	Nerd Rage!
SI000191	You've been pushed around long enough! Whenever your health drops below 20%, enemy crit. chance is reduced by 10% for each point of Intelligence you have.
SI000192	Lead Belly
SI000193	With each rank of the Lead Belly perk, you take 25% less radiation when consuming irradiated food and drink.
SI000194	Paralyzing Palm
SI000195	With Paralyzing Palm, you will sometimes perform a special V.A.T.S. palm strike that paralyzes your opponent for 30 seconds. Note that in order to perform the Paralyzing Palm, you must be completely unarmed.
SI000196	Concentrated Fire
SI000197	With Concentrated Fire, your accuracy when targeting any body part in V.A.T.S. increases slightly with each subsequent attack on that body part, and your spread is decreased by 20% when using an automatic weapon.
SI000198	Infiltrator
SI000199	With Infiltrator, if a lock is broken, and can't normally be picked again, you can attempt to pick it again one more time. This includes locks previously broken by a "Force Lock" attempt.
SI000200	Action Girl
SI000201	With the Action Girl perk, you gain an additional 15 Action Points to use in V.A.T.S.
SI000202	Black Widow
SI000203	You gain +5 Speech and Barter and +1 Charisma when talking to men, but suffer -5 Speech and Barter when talking to women.
SI000204	Lady Killer
SI000205	You gain +5 Speech and Barter and +1 Charisma when talking to women, but suffer -5 Speech and Barter when talking to men.
SI000206	Bloody Mess
SI000207	"With the Bloody Mess trait, characters and creatures you kill will often explode into a red, gut-ridden, eyeball-strewn paste. Fun! Oh, and you gain +2% weapon damage per type of mutilated body part that you carry (Head, Arm, Leg, Organs, Torso).

However, your chance to set off mines, and enemy crit chance have been increased by 8%."
SI000208	Gunslinger
SI000209	While using a one-handed weapon, your accuracy is increased by 15% per rank.
SI000210	Cannibal
SI000211	With the Cannibal trait, when you're in Sneak mode, you gain the option to eat a corpse to regain Health equal to your Survival skill when your Hunger meets or exceeds your Survival skill. But every time you feed, you lose Karma, and if the act is witnessed, it is considered a crime against nature.
SI000212	Devour
SI000213	"StartCannibal Player
Player.RestoreAv Health (player.getav survival)
if Player.IsHardcore
  Player.RestoreAv Hunger (player.getav survival)
endif
Player.DamageAv RadiationRads 25
RewardKarma -100
ModPCMiscStat ""Corpses Eaten"" 1

If Player.HasPerk MeatOfChampionsPerk
  Player.CastImmediateOnSelf MeatOfChampionsEffect
endif"
SI000214	Devour
SI000215	"StartCannibal Player
Player.RestoreAv Health (player.getav survival)
if Player.IsHardcore
  Player.RestoreAv Hunger (player.getav survival)
endif
Player.DamageAv RadiationRads 25
RewardKarma -100
ModPCMiscStat ""Corpses Eaten"" 1

If Player.HasPerk MeatOfChampionsPerk
  Player.CastImmediateOnSelf MeatOfChampionsEffect
endif"
SI000216	Night Person
SI000217	When the sun is down, you gain +1 to Intelligence and Perception, but you suffer an equal reduction to those stats during the day.
SI000218	Fast Metabolism
SI000219	With the Fast Metabolism perk, you gain a 20% Health bonus when using Stimpaks.
SI000220	Finesse
SI000221	With the Finesse perk, you have a higher chance to score a critical hit on an opponent in combat, equivalent to 5 extra points of Luck.
SI000222	Steel Skeleton
SI000223	With the Steel Skeleton trait, your limbs only receive 75% of the damage they normally would, but your carry weight is reduced by 20%.
SI000224	Chem Resistant
SI000225	With the Chem Resistant trait, your addiction chance is reduced by 25%, but so is your chem duration.
SI000226	Commando
SI000227	While using a rifle (or similar two-handed weapon), your accuracy is increased by 15% with each rank of the Commando perk.
SI000228	Grim Reaper's Sprint
SI000229	If you kill a target in V.A.T.S., 20 Action Points are restored upon exiting V.A.T.S. The second rank increases the amount to 60.
SI000230	Ant Might
SI000231	Your body has been genetically enhanced with the strength and flame resistance of the Grayditch Fire Ants! Your Strength has increased by 1 while sneaking, and you gain 3% resistance to fire per point in Endurance.
SI000232	Ant Sight
SI000233	Your body has been genetically enhanced with the perception and flame resistance of the Grayditch Fire Ants! Your Perception has increased by 1 while sneaking, and you are gain 3% resistance to fire for each point in Endurance.
SI000234	Nerves of Steel
SI000235	With the Nerves of Steel perk, you regenerate Action Points 20% faster per rank.
SI000236	Rad Absorption
SI000237	With the Rad Absorption perk, your radiation level dissipates by 1 point every 10 seconds.
SI000238	Terrifying Presence
SI000239	In some conversations, you gain the ability to initiate combat while terrifying your opponents, sending them fleeing away for safety and enemy crit. chance is also reduced by 5% for each point that your Charisma is below 5, but you suffer -1 Charisma and -5 Speech.
SI000240	Retention
SI000241	With the Retention perk, the bonuses granted by skill magazines last three times as long.
SI000242	Math Wrath
SI000243	You are able to optimize your Pip-Boy's V.A.T.S. logic, reducing all AP costs by 5% per each 10 points in Science above 40.
SI000244	Four Eyes
SI000245	While wearing any type of glasses, you gain +1 PER. Without glasses, you suffer -1 PER.
SI000246	Heavy Handed
SI000247	Your melee and unarmed attacks do 20% more damage, but you attack 35% slower with them.
SI000248	Small Frame
SI000249	Due to your small size, you have +15 Sneak and enemy crit. chance is reduced by 15%, but you also suffer -1 Endurance and Strength.
SI000250	Fast Shot
SI000251	While using Guns, Energy Weapons, or Big Guns, you fire 20% more quickly, but your spread is increased by 20%.
SI000252	Trigger Discipline
SI000253	While using Guns, Energy Weapons, or Big Guns, you fire 20% more slowly, but your spread is reduced by 20%.
SI000254	Ghastly Scavenger
SI000255	With Ghastly Scavenger, when you're in Sneak mode, you gain the option to eat a Super Mutant or Feral Ghoul corpse to regain Health equal to your Survival skill. If this act is witnessed, it is considered a crime against nature.
SI000256	Devour
SI000257	"StartCannibal Player
Player.RestoreAv Health 50
if Player.IsHardcore
  Player.RestoreAv Hunger ((player.getav survival) * 2)
endif
Player.DamageAv RadiationRads 50
;RewardKarma -100
ModPCMiscStat ""Corpses Eaten"" 1"
SI000258	Devour
SI000259	"StartCannibal Player
Player.RestoreAv Health 50
if Player.IsHardcore
  Player.RestoreAv Hunger ((player.getav survival) * 2)
endif
Player.DamageAv RadiationRads 50
;RewardKarma -100
ModPCMiscStat ""Corpses Eaten"" 1"
SI000260	Kamikaze
SI000261	You gain +25% run speed while in combat and below 50% health, but you also have -5 DT while those conditions are met.
SI000262	Hunter
SI000263	In combat, you do +50% critical damage against animals and mutated animals, and +50% damage against them while using Guns and sneaking. You're also able to collect their meat more often.
SI000264	Purifier
SI000265	As a purifier of the wasteland, you do +50% damage with Melee and Unarmed weapons against Centaurs, Nightstalkers, Spore Plants, Spore Carriers, Deathclaws, Super Mutants, and Feral Ghouls.
SI000266	Cherchez La Femme
SI000267	You gain +5 Speech and Barter and +1 Charisma when talking to women, but suffer -5 Speech and Barter when talking to men.
SI000268	Confirmed Bachelor
SI000269	You gain +5 Speech and Barter and +1 Charisma when talking to men, but suffer -5 Speech and Barter and when talking to women.
SI000270	Rapid Reload
SI000271	Rapid Reload makes all of your weapon reloads 15% faster.
SI000272	Quick Draw
SI000273	Quick Draw makes all of your weapon equipping and holstering 10% faster per each 10 points in the appropriate weapon skill above 30.
SI000274	Miss Fortune
SI000275	Just when your enemies think they have the upper hand, Miss Fortune appears to turn their world upside down. Appearing only in V.A.T.S., she has the ability to grant defeat in the face of victory - at the cost of 15% crit chance.
SI000276	Good Natured
SI000277	You're Good Natured at heart, more prone to solving problems with your mind than violence. Your karma is immediately increased to Good if it is below that threshold, and you gain +1 to Charisma and +5 to Barter and Speech, but have -5 to Energy Weapons, Explosives, Guns, Melee Weapons, and Unarmed.
SI000278	Built to Destroy
SI000279	The Flamer that burns twice as bright burns half as long. Your throwing velocity, crit. chance, and attack speed are improved by 10%, but your spread is increased by 10%, and your weapon condition decays 20% faster.
SI000280	Cowboy
SI000281	When using any cowboy weapon, your attack speed, accuracy and damage are increased by 15%.
SI000282	Marathon Runner
SI000283	Your run speed is increased by 20% while wearing nothing, 15% while wearing light armor, 10% while wearing medium armor, and 5% while wearing heavy armor.
SI000284	Weapon Handling
SI000285	You've become more accustomed to handling heavy weaponry. The Weapon Handling perk reduces weapon Strength requirements by 1, or by 2 instead if your weapon skill is at least twice your weapon's requirement or greater than 95.
SI000286	Long Haul
SI000287	You have learned how to pack mountains of gear for the Long Haul. Being over-encumbered no longer prevents you from using Fast Travel.
SI000288	Living Anatomy
SI000289	Living Anatomy allows you to see the Health and Damage Threshold of any target. It also gives you a +5% bonus to damage against Humans and non-feral Ghouls, and allows you to collect resources from abominations.
SI000290	Meltdown
SI000291	Meltdown grants you +25% crit. damage with plasma weapons, and critical hits on targets wearing metallic armor will heavily damage their armor and reduce their resistances.
SI000292	Pack Rat
SI000293	You have learned the value of careful packing. Items with a weight of 2 or less weigh half as much for you.
SI000294	Heave, Ho!
SI000295	Quite an arm you've got there. All of your thrown weapons gain 25% velocity and damage while holding the aim key.
SI000296	Run 'n Gun
SI000297	The Run 'n Gun perk reduces spread penalties while moving by 50%.
SI000298	Super Slam
SI000299	All Melee Weapons and Unarmed attacks have a chance to knock your target down when they penetrate the target's DT. This chance increases based on weapon weight and power attacking, and is proportionally reduced when a weapon's strength requirement is not met.
SI000300	Piercing Strike
SI000301	Piercing Strike makes all of your Unarmed and Melee Weapons (including thrown) negate 2 points of Damage Threshold on the target per point in Strength.
SI000302	Better Healing
SI000303	While Arcade is a companion, the amount of health you recover from items is increased by 20%.
SI000304	Spotter
SI000305	While Boone is a companion, hostile targets are highlighted while you are aiming.
SI000306	Regular Maintenance
SI000307	While Raul is a companion, the condition of weapons and armor decays more 12.5% slower.
SI000308	Search and Mark
SI000309	While Rex is a companion, chems and unequipped firearms and ammunition within a short distance are highlighted while you aim.
SI000310	Full Maintenance
SI000311	While Raul is a companion, the condition of weapons and armor decays 25% slower.
SI000312	Tough Guy
SI000313	Repeatedly breaking your bones has led them to becoming tougher.
SI000314	Bug Stomper
SI000315	Pulling the legs off of ants suits you well. You've gained a damage bonus against insects.
SI000316	Day Tripper
SI000317	You've done enough chems to know how to hang on to the effects just a while longer. Each point in Endurance grants you +3% chem duration.
SI000318	Abominable
SI000319	You've gained a damage bonus against abominations.
SI000320	Machine Head
SI000321	You've gained a damage bonus against robots.
SI000322	Set Lasers to Kill
SI000323	You're extra lethal with laser weapons! Minor bonus to critically hit with all laser weapons.
SI000324	Hack N' Slash
SI000325	You hack just a little faster.
SI000326	Beautiful Beatdown
SI000327	Your Unarmed weapon AP Cost is reduced by 20%.
SI000328	Animal Control
SI000329	You've gained a damage bonus against animals.
SI000330	Dine and Dash
SI000331	With the Dine and Dash perk, when you're in Sneak mode, you gain the option to take corpse parts for eating at a later time.
SI000332	Dine and Dash
SI000333	"StartCannibal Player
Player.RestoreAv Health (player.getav survival)
if Player.IsHardcore
  Player.RestoreAv Hunger (player.getav survival)
endif
Player.DamageAv RadiationRads 25
Player.AddItem NVCannibalFood 1
RewardKarma -100
ModPCMiscStat ""Corpses Eaten"" 1

If Player.HasPerk MeatOfChampionsPerk
  Player.CastImmediateOnSelf MeatOfChampionsEffect
endif"
SI000334	Mutant Massacrer
SI000335	You've gained a damage bonus against Super Mutants.
SI000336	Friendly Help
SI000337	Your V.A.T.S. protectors will help you more often as your Luck increases.
SI000338	Loose Cannon
SI000339	From Frag Grenades to Throwing Spears, you can throw weapons 30% faster at the cost of 25% less velocity.
SI000340	Friend of the Night
SI000341	You are a true friend of the night. Your eyes adapt quickly to low-light conditions indoors and when darkness falls across the wasteland.
SI000342	Automatic Artistry
SI000343	Automatic Artistry reduces your spread with automatic weapons by 15% and increases your crit. chance with them by 10%.
SI000344	Center of Mass
SI000345	You don't fool around with fancy trick shots. Straight to the midsection and down they go. In VATS, you do an additional 15% damage with attacks targeting the torso, and torso limb damage that you deal will be doubled.
SI000346	Hit the Deck
SI000347	Your familiarity with Explosives allows you to avoid a portion of their damage. Your Damage Threshold is increased by 15 against all Explosives.
SI000348	Slayer
SI000349	The slayer walks the earth! Each rank of the Slayer perk increases the speed of all your Melee Weapons and Unarmed attacks by 20%.
SI000350	Unstoppable Force
SI000351	Your martial might is truly legendary. You do 4x damage through enemy blocks with all Melee Weapons and Unarmed attacks while moving forward.
SI000352	Stonewall
SI000353	You gain +1 Damage Threshold against all Melee Weapons and Unarmed attacks per point in Endurance, and immunity to knockdowns.
SI000354	Rad Child
SI000355	You truly are a rad child. As you go through the increasingly devastating stages of radiation sickness, you will regenerate more and more health while actively being irradiated by higher intensities of radiation.
SI000356	Laser Commander
SI000357	From the humble Laser Pistol to the mighty Gatling Laser, you do +15% damage and have +10% chance to critically hit with any laser weapon.
SI000358	Shotgun Surgeon
SI000359	Your precision with a scattergun is something to behold. When using shotguns, each rank of Shotgun Surgeon grants you 6 points of Damage Threshold penetration and -8% spread.
SI000360	Jury Rigging
SI000361	You possess the amazing ability to repair any item using a roughly similar item. Fix a Trail Carbine with a Hunting Rifle, a Plasma Defender with a Laser Pistol, or even Power Armor with Metal Armor. How does it work? Nobody knows... except you.
SI000362	Vigilant Recycler
SI000363	Waste not, want not. When you use Energy Weapons, you are more likely to recover drained ammunition. You also have more efficient recycling recipes available at the Workbench.
SI000364	Hand Loader
SI000365	You know your way around a reloading bench and don't let good brass and hulls go to waste. When you use Guns, you are 50% more likely to recover cases and hulls. You also have access to advanced ammo types at the Reloading Bench. The second rank increases your chance to recover hulls by another 2x.
SI000366	Nuka Chemist
SI000367	You have unraveled some of the greatest mysteries of Pre-War masters: formulas for developing special Nuka-Colas! This perk unlocks special Nuka-Cola recipes at the Workbench.
SI000368	The Professional
SI000369	Up close and personal, that's how you like it. Your Sneak Attack Criticals with pistols, revolvers, and submachine guns, whether Guns or Energy Weapons, all inflict an additional 20% damage.
SI000370	Plasma Spaz
SI000371	You're just so excited about plasma that you can't (magnetically) contain yourself! Your attack speed and AP cost with plasma weapons are improved by 20%.
SI000372	Splash Damage
SI000373	When you're deep in enemy territory, you just start chucking grenades and hope for the best. All Explosives have a 25% larger area of effect.
SI000374	Camel of the Wastes
SI000375	You're a true water connoisseur. You gain increased benefits when drinking water.
SI000376	Light Touch
SI000377	Heavy armor just isn't your thing, so you've learned to customize light armor for maximum benefit. While wearing light armor or clothing, you gain +3 DT and DR, and your enemies suffer a -25% Critical Hit Chance.
SI000378	In Shining Armor
SI000379	Beams reflect off the mirror-like finish of your gleaming armor! You gain an additional +5 Damage Threshold against energy weapons while wearing any metal armor, and +2 while wearing reflective eyewear.
SI000380	And Stay Back
SI000381	You've discovered a Shotgun technique that has a chance to knock an enemy back on any hits that penetrate the target's DT. Slugs have a much greater chance to cause knockdown.
SI000382	Old World Gourmet
SI000383	Thanks to wasteland living, you've learned the secrets of the pre-war scroungers! You've gained +25% Addiction Resistance, and a healing bonus from junk foods and pre-war liquor.
SI000384	Heavyweight
SI000385	Have you been working out? Weapons heavier than 10 lbs. now weigh half as much for you. (Modified weapons that drop below 10 lbs. will not gain this benefit.)
SI000386	Hobbler
SI000387	With the Hobbler perk, your attacks to legs deal double limb damage, your run speed is increased by 10% with each crippled leg, and you gain +5 DT penetration and 25% better chance to hit an opponent's legs in V.A.T.S.
SI000388	Home on the Range
SI000389	Whenever you interact with a campfire, you have the option of sleeping, with all the benefits that sleep brings.
SI000390	Eye For An Eye
SI000391	While your head is crippled, you gain an additional 25% crit damage and crit chance.
SI000392	Grunt
SI000393	Just good, honest infantry work! When using U.S. army weapons, your Explosives, Unarmed, and Melee Weapons gain +15% damage, your Unarmed and Melee Weapons gain +25% equip speed, your automatic weapon spread is reduced by 20%, your semi-automatic spread is reduced by 10%, you gain +15% reload speed, and strength requirements are reduced by 1.
SI000394	Tribal Ways
SI000395	Your limbs take 50% less damage from Animals, Mutated Animals, and Mutated Insects, and you gain +20% damage and attack speed with tribal weapons, as well as +8 DT, +25% DR, and +10% run speed while wearing a tribal outfit.
SI000396	Sneering Imperialist
SI000397	You don't take kindly to raiders, junkies, or tribals trying to "settle" or "stay alive" in civilized lands. Against dirty raider, slaver and junkie types, as well as tribals, you do +15% damage and have a bonus to hit in V.A.T.S. (Requires Evil Karma).
SI000398	Implant M-5
SI000399	You can be made... better... faster... stronger... Actually, just faster. The M-5 implant increases your crouched movement speed by 10% for greater efficiency as a test subject.
SI000400	Implant Y-3
SI000401	"Implant Y-3 places an internal filtration system in the digestive tract that strips any liquid consumed of all* radioactive particles.
*Within standard tolerance levels"
SI000402	Implant C-13
SI000403	Implant C-13 is a defense turret subroutine that has been modified for implantation into humans. It enhances accuracy and damage dealt against targets in the air by 10%.
SI000404	DNAgent
SI000405	Studying schematics on the abominations created at the Big MT has granted you a damage bonus (+10%) against Abominations.
SI000406	Mile in Their Shoes
SI000407	You have come to understand Nightstalkers. Consuming Nightstalker Squeezin's will now grant +1 Agiity, +25 Poison Resistance, +5 Sneak in addition to the normal benefits.
SI000408	Implant Y-7
SI000409	Implant Y-7 is an enzyme booster that increases the Health (HP) gained from foods and recovers additional Action Points (AP) per food item consumed.
SI000410	Spineless
SI000411	Your spine has been replaced with advanced technologies: Your torso can no longer be crippled, and your carry weight has increased by 25%, but your attack speed with Unarmed, and Melee Weapons has been reduced by 25%, and your equip speed has been reduced by 25%.
SI000412	Brainless
SI000413	Your brain has been replaced with advanced technologies: Your head can no longer be crippled, and your addiction chance is removed, but your radiation intake while drinking is doubled, and you have -1 Perception.
SI000414	Heartless
SI000415	Your heart has been replaced with advanced technologies: You cannot be poisoned, and your AP regen speed has increased by 25%, but your recovered health is reduced by 25%, your max health has been reduced by 50, and your radiation resistance has been reduced by 25%.
SI000416	Them's Good Eatin'
SI000417	You've gained a chance to find a Thin Red Paste or Blood Sausage when looting any animal.
SI000418	Early Bird
SI000419	You gain +1 to each of your S.P.E.C.I.A.L. attributes from 5 a.m. to 12 p.m., but suffer -1 from 6 p.m. to 5 a.m. when you're not at your best.
SI000420	Hot Blooded
SI000421	When your health drops below 50%, your attack speed is increased by 25%, but your weapon condition damage is doubled.
SI000422	Hoarder
SI000423	You gain +20% carry weight, but suffer -1 to all SPECIAL stats when carrying less than 160 lbs.
SI000424	Talented
SI000425	You're talented, but a slow learner. You gain +5 points to every skill, but you suffer -1 gained skill points per level.
SI000426	Claustrophobia
SI000427	You have a fear of enclosed spaces. You gain +1 to S.P.E.C.I.A.L. attributes when outside, but suffer -1 when indoors.
SI000428	Heart-full
SI000429	Your body once again pumps with blood and passion. Your poison resistance has increased by 50%.
SI000430	Big Brained
SI000431	Your brain is back in your body, but some of the advanced technologies remain: Your head can be crippled again, but you are still 35% more resistant to addiction, and you gain +1 Intelligence and +10% XP.
SI000432	Cardiac Arrest
SI000433	Your heart is back in your body, but some advanced technologies remain: You still suffer -15 radiation resistance, but your health and AP have increased by 25, and your damage resistance has increased by 5%.
SI000434	Reinforced Spine
SI000435	Your spine is back in your body, but some advanced technologies remain: Your torso can be crippled again, but you've gained +1 Endurance and +2 DT.
SI000436	Long, Lonesome Road
SI000437	You left ED-E behind in Ulysses' Temple - not that you needed the help anyways. As long as you have no companions, your attacks inflict +10% damage and you have +10% accuracy in VATS.
SI000438	Marked
SI000439	You've faced violence at the hands of the Marked Men... now it's payback time. (+10% Damage Threshold and +10% Damage against the Marked Men)
SI000440	Certified Tech
SI000441	Your knowledge of robotic components allows you to break them more easily and salvage their mechanical corpses. You have a +25% chance to score critical hits against robots, and you'll also find more useful components on robots you destroy.
SI000442	Broad Daylight
SI000443	You're so sneaky that you can sneak even with your Pip-Boy light on! Any time the Pip-Boy light is on, you gain a sneak bonus to offset the light's sneak penalty.
SI000444	Ain't Like That Now
SI000445	Maybe you were bad once, but you ain't like that now. Your Karma has been reset, you regenerate AP 20% faster, and your attack speed is increased by 20%. You are also 25% less susceptible to critical hits from Evil or Very Evil characters. (Requires Bad Karma.)
SI000446	Thought You Died
SI000447	Your storied past has fallen from memory 'cause everyone thought you died. Your Karma is reset, you inflict +15% damage against Evil or Very Evil characters, as well as being 25% less susceptible to their critical hits, and you gain +50 Health. (Requires Good Karma.)
SI000448	Just Lucky I'm Alive
SI000449	You've had lots of close calls. Whenever you finish a fight with less than 25% Health, your Luck increases by +4 for 3 minutes. You're also -25% as likely to be critically hit, and your own critical hits inflict +25% damage. (Requires Neutral Karma.)
SI000450	Burden to Bear
SI000451	With the Burden To Bear perk, you can carry 4 more pounds of equipment for each point of both Strength and Endurance, on top of your Strong Back carry weight bonus.
SI000452	Roughin' It
SI000453	You're more at home under the open stars than under a roof. Any time you sleep outside, you gain the benefits of being Well Rested, even if you don't own the bed.
SI000454	Alertness
SI000455	You've learned to keep your senses alert to any danger. When crouched and not moving you gain a +2 to your Perception attribute to help you find enemies before they find you.
SI000456	Voracious Reader
SI000457	You don't just read books, you tear into them. Damaged books you pick up become blank magazines, which you can use to copy your existing skill magazines at a workbench (or convert blank magazines back to books).
