STE00000001	Inline Vanilla Functions 
STE00001839	Make the 'Show Active Quest Notes' button show notes for all started, non-completed quests.
STE00001840	Hide Hotkeyed Items In Barter
STE00001841	Hides hotkeyed items in the barter menu.
STE00001842	Hide Hotkeyed Items In Containers
STE00001843	Hides hotkeyed items in the container menu.
STE00001844	Numbered Computer Hotkeys
STE00001845	Adds hotkeys 0-9 to select options in the computers menu.
STE00001846	Show List Number
STE00001847	Computer Hotkeys
STE00001848	Prepend the list number to each menu option.
STE00001849	Show Book Effects
STE00001850	Show book effects when viewing them in the PipBoy. e.g. 'Permanent Speech +1'.
STE00001851	Effect Prefix
STE00001852	Book Effects
STE00001853	Prefix shown before the {SKILL} + 1.
STE00001854	Auto Continue Game
STE00001855	Automatically continue game at the start menu.
STE00001856	Sort Misc Stats
STE00001857	Sort the misc stats page of the Stats menu.
STE00001858	Misc Stat Sorting
STE00001859	Alphabetical Vanilla + Unsorted Modded
STE00001860	By Value
STE00001861	Alphabetical/Zeros Last
STE00001862	Show Take All In Companion Containers
STE00001863	Show the 'Take All' button when viewing companion inventories.
STE00001864	Prevent Bush Passthrough Sounds
STE00001865	Prevent sounds playing when walking through bushes.
STE00001866	Synchronize Container Categories
STE00001867	Synchronize the left/right item categories like in Fallout 4.
STE00001868	Prevent Auto-Switching When Taking Last Item
STE00001869	Synchronized Container Categories
STE00001870	Prevent the category automatically changing when transferring the last item in a category.
STE00001871	Randomize Killcam Mode
STE00001872	Randomly alternate between cinematic/player view kill-cams.
STE00001873	No Damage Melee Weapon If Target Dead
STE00001874	Don't decrease the health of a melee weapon when hitting dead NPCs.
STE00001875	Lockpick Hacking Message Shows Current Skill
STE00001876	Show the current lockpick/hacking skill levels in the 'You need X skill to hack this terminal' messages.
STE00001877	Lockpick Message
STE00001878	Lockpick/Hacking Messages
STE00001879	Hacking Message
STE00001880	No Drop Weapon Sound On Player Death
STE00001881	Prevent the unequip sound when the player dies.
STE00001882	Toggle Controller If Attack Pressed
STE00001883	Swap to controller when A is pressed, or keyboard/mouse when left clicking.
STE00001884	Prevent Controller Connected Popup
STE00001885	Prevent the 'Turn off 360 Controller in the Controls...' popup.
STE00001886	Climb Steeper Slopes
STE00001887	Allow adjusting the max walking/jumping/autowalk angles. Vanilla is 47 degrees.
STE00001888	Max Walk Angle
STE00001889	Slope Climbing
STE00001890	Max angle while walking (in degrees).
STE00001891	Max Jump Angle
STE00001892	Max angle while jump is held (in degrees).
STE00001893	Max AutoWalk Angle
STE00001894	Max angle while autowalk is active (in degrees).
STE00001895	Screenshot Key
STE00001896	Hotkeys
STE00001897	Allows changing the default screenshot hotkey (from Print Scrn)
STE00001898	Key
STE00001899	Pipboy Stats Key
STE00001900	Allows changing the default Pipboy Stats hotkey (from F1)
STE00001901	Pipboy Items Key
STE00001902	Allows changing the default Pipboy Items hotkey (from F2)
STE00001903	Pipboy Data Key
STE00001904	Allows changing the default Pipboy Data hotkey (from F3)
STE00001905	VATS Accept Key
STE00001906	Allows changing the default VATS Accept key (from E)
STE00001907	Console Key
STE00001908	Allows changing the default console hotkey (from ~)
STE00001909	Exit To Main Menu Key
STE00001910	Add a key to exit to the main menu.
STE00001911	Exit Game Key
STE00001912	Adds a key to exit the game.
STE00001913	Disable Collision Key
STE00001914	Disables player collision while held.
STE00001915	Toggle Pipboy Light Key
STE00001916	Toggles the PipBoy light, and the night vision scope effect if bAddNightVisionToggle is enabled.
STE00001917	Holster Weapon Key
STE00001918	Holster the current weapon, disables holding reload to holster weapon.
STE00001919	Open Quests Key
STE00001920	GameMode key to open the PipBoy quests tab, J key switches to the tab while in the PipBoy Menu.
STE00001921	Open Radios Key
STE00001922	GameMode key to open the PipBoy radios tab, P key switches to the tab while in the PipBoy menu.
STE00001923	Radio Volume Down Key
STE00001924	GameMode key to decrease the radio volume.
STE00001925	Radio Volume Up Key
STE00001926	GameMode key to increase the radio volume.
STE00001927	Toggle Menus Key
STE00001928	Toggles the visibility of all menus (as the ToggleMenus command).
STE00001929	Toggle True Ironsights Key
STE00001930	Toggles true ironsights mode.
STE00001931	Toggle Crosshair Key
STE00001932	Toggles visibility of the crosshair.
STE00001933	Open Local Map Key
STE00001934	GameMode key to open the PipBoy local map, N key switches to the map while in the PipBoy Menu.
STE00001935	Toggle Sighting Node Key
STE00001936	Switch ironsights node to using '##SightingNode2' if the weapon has one. Resets when changing weapons.
STE00001937	Toggle Sneak Indicator Key
STE00001938	Toggles whether the sneak indicator is hidden.
STE00001939	Drop Equipped Weapon Key
STE00001940	Drops the equipped weapon.
STE00001941	Toggle Smooth Camera Key
STE00001942	Toggles a cinematic camera, smoothing mouse/controller movements.
STE00001943	Disable While Aiming
STE00001944	Smooth Camera
STE00001945	Radio Station Next Key
STE00001946	Select the next radio station.
STE00001947	Radio Station Previous Key
STE00001948	Select the previous radio station.
STE00001949	Radio Skip Song Key
STE00001950	Skip the current radio song or topic.
STE00001951	Open Map Key
STE00001952	GameMode key to open the PipBoy world map, M key switches to the map while in the PipBoy Menu.
STE00001953	Show Local Map In Interiors
STE00001954	Map Hotkey
STE00001955	Open the local map instead of the world map when in interiors.
STE00001956	Repeated Activate Key
STE00001957	Continually presses the use key while held
STE00001958	Only Take Items
STE00001959	Only take items while the key is held (i.e. don't open doors, speak to NPCs etc.).
STE00001960	Hide HUD Key
STE00001961	Hides various elements on the main HUD.
STE00001962	Hide Compass/HP
STE00001963	Hide Ammo/AP
STE00001964	Hide Hardcore Needs
STE00001965	Hide Sneak Indicator
STE00001966	Hide By Default
STE00001967	Hide the HUD when loading a save.
STE00001968	Equip Last Weapon Key
STE00001969	Equips the last equipped weapon.
STE00001970	Equip Last Weapon Hotkey
STE00001971	Don't set the last equipped weapon to be a thrown weapon.
STE00001972	Mousewheel Support
STE00001973	Make scrolling up/down change weapons.
STE00001974	Ignore non-damage weapons
STE00001975	Ignore non-melee weapons with no projectiles.
STE00001976	Max Character Level
STE00001977	Sets the max player level and disables the hard-coded +5 per DLC.
STE00001978	Level
STE00001979	Tweaks
STE00001980	Max player level (1-65535).
STE00001981	Perk Point Modifier
STE00001982	Earn more perks at the perk allocation screen (not to be confused with the iLevelsPerPerk gamesetting, which affects the level gap between level-ups that let you choose a Perk.)
STE00001983	Perks Per Level
STE00001984	Perk-points at the perk allocation screen.
STE00001985	Item Repair List Preview
STE00001986	Show which items can be used to repair the current weapon/armor when holding ALT and opening the repair menu.
STE00001987	Strength-based Explosion Knockdown Chance
STE00001988	Make explosion knockdown avoidance chance use strength instead of agility (affects NPCs and the player).
STE00001989	Mousewheel Scrolls Weapon Hotkeys
STE00001990	Add mousewheel to scroll through hotkeyed weapons.
STE00001991	Invert Scroll
STE00001992	Invert the weapon swap direction.
STE00001993	Cap Skills By SPECIAL
STE00001994	Cap the levelup menu max skill values based on SPECIAL skills.\nskillCap = min(iSkillCap, fSkillBase + (specialVal * fSPECIALMult) + luckVal * fLuckMult)\nStrength - Melee Weapons\nPerception - Energy Weapons, Explosives, Lockpick\nEndurance - Big Guns, Survival, Unarmed\nCharisma - Barter, Speech\nIntelligence - Medicine, Repair, Science\nAgility - Guns, Sneak
STE00001995	Skill Cap
STE00001996	SPECIAL Caps Skills
STE00001997	Max points in any skill.
STE00001998	Skill Base
STE00001999	Base value before SPECIALs are added.
STE00002000	Points per SPECIAL
STE00002001	Points added per SPECIAL skill.
STE00002002	Points added per Luck
STE00002003	Points added per Luck.
STE00002004	Run & Gun AP In Combat Only
STE00002005	Use the fActionPointsRunAndGunMult in combat only.
STE00002006	Disarming Mines Picks Them Up
STE00002007	Automatically pick up explosives after disarming them.
STE00002008	Crit Chance Ignores Fire Rate
STE00002009	Don't divide crit chance by fire rate for automatic weapons.
STE00002010	Hide Hotkeyed Items In Repair Lists
STE00002011	Hides hotkeyed items in the pipboy repair menu.
STE00002012	Stats Menu Shows Effect Time Remaining
STE00002013	Show the time remaining for effects in the Stats menu (excludes named effects like 'Psycho' or 'Well Rested').
STE00002014	Use Long Ammo Name On HUD
STE00002015	Show the full or pipboy/shorthand name for ammo on the HUD instead of the abbreviation. Requires a UI mod since it clips with the CND bar.
STE00002016	Use Pipboy Name
STE00002017	Ammo Label
STE00002018	Use the shorthand name for ammo (e.g. 20ga S) instead of the full name of the ammo (e.g. 20 Gauge, Slug).
STE00002019	Per Bullet Looping Reload
STE00002020	Require pressing reload N times to load N rounds for looping reload weapons. e.g. pressing reload twice will load two bullets into a reload loop weapon.
STE00002021	Max Reload Queue Length
STE00002022	Looping Reloads
STE00002023	Max number of bullets to queue by pressing reload multiple times, set to 0 for no limit.
STE00002024	Number of bullets to queue per reload press.
STE00002025	No Player Stagger Anims
STE00002026	Disable player stagger animations when limbs are crippled.
STE00002027	Console Prints Include Timestamp
STE00002028	Include a timestamp in console messages.
STE00002029	Timestamp Format
STE00002030	Hour Minute Second Millisecond
STE00002031	Scale Player Melee Reach
STE00002032	Scale the distance the player hit with melee weapons.
STE00002033	Reach Multiplier
STE00002034	Melee Range
STE00002035	Multiplier applied to melee weapon range.
STE00002036	Minimum Reach
STE00002037	Minimum reach, set to 0 to have no minimum.
STE00002038	Maximum Reach
STE00002039	Maximum reach, set to 0 to have no maximum.
STE00002040	Player Marker Height Indicator
STE00002041	Add an indicator whether the player placed marker is above or below if the marker is in another cell.
STE00002042	Use Door Icon
STE00002043	Player Placed Marker
STE00002044	Use glow_hud_compass_pc_marker_door.dds for doors.
STE00002045	No Lock Encounter Zone Levels
STE00002046	Don't freeze the level of encounter zones. In the base game visiting a dungeon will permanently cap the level of enemies and loot there to your level. This tweak changes it so that there is no difference in level between entering a new dungeon and a previously visited one.
STE00002047	Changing Container Category Scrolls To Top
STE00002048	Scroll to the top when changing container/barter categories.
STE00002049	More Precise Radiation Meter
STE00002050	Display radiation level to more decimal places.
STE00002051	Format
STE00002052	RAD Meter
STE00002053	Format for radiation meter text, supports 0-9 decimal places with %.1f, %.2f etc.
STE00002054	Aiming Unholsters Weapons
STE00002055	Unholster weapons when aiming.
STE00002056	Inventory Alternate Ammo Indicator
STE00002057	Show a + beside ammo count in inventory menus if you have any alternate ammos.
STE00002058	Reload While Firing
STE00002059	Allow reloading while firing anims play.
STE00002060	Repair Scales Crafting Condition
STE00002061	Scale initial health of crafted items based on repair skill.
STE00002062	Scale Explosion Shake
STE00002063	Scale the camera/HUD shake caused by explosions.
STE00002064	Camera Shake Mult
STE00002065	Explosion Shake
STE00002066	Multiplier applied to camera shake.
STE00002067	HUD Shake Mult
STE00002068	Multiplier applied to HUD shake.
STE00002069	Mark Nearby Locations On Map
STE00002070	Permanently reveal nearby locations markers on the pipboy map (as if an NPC had given you the marker).
STE00002071	Radius
STE00002072	Add Nearby Markers To Map
STE00002073	Radius of circle around player to add markers. If you want them to be added when they appear on the compass, set this to the value of the iMapMarkerVisibleDistance gamesetting (default is 20000)
STE00002074	50000
STE00002075	Prevent Stealing Caps After Repair
STE00002076	Place caps in merchant containers instead of their inventory when using repair services.
STE00002077	Destroy caps if vendor has no container
STE00002078	No Stealing After Repair
STE00002079	Destroy the caps if the merchant has no vendor container, otherwise they are given to the actor
STE00002080	Prevent NPC Comments
STE00002081	Prevent NPCs commenting when you knock over objects, look at locked containers etc.
STE00002082	Prevented Topic Flags
STE00002083	Prevent NPC Topics
STE00002084	Hexadecimal value containing the sum of all the desired flags. e.g. 0x880 would prevent KnockOverObject and LockedTerminalOrContainerInCrosshair. See the readme for available flags.
STE00002085	Companions Use Location Font On Map
STE00002086	Use the same font as locations for companions on the map. Vanilla is hardcoded to use font 2.
STE00002087	Remove Queued Cripple/Critical Messages For Dead NPCs
STE00002088	Remove queued cripple/critical messages for dead NPCs. This prevents the spam of 'Limb crippled...' after a target dies from explosions for example.
STE00002089	Show 'Use Password' On Terminals With Password Note
STE00002090	Show '[Locked - Use Password]' on terminals if you have the password note. Additionally marks terminals as unlocked once you've opened them with the note.
STE00002091	Prompt string
STE00002092	Hacking HUD Prompt
STE00002093	Prompt when you already have the terminal's password note, [Locked - sUsePassword].
STE00002094	Hide Read Notes
STE00002095	Hide notes that have been read already in the notes menu.
STE00002096	Explosion Knockback Direction Fix
STE00002097	Push targets away from explosions instead of the actor who created them. This also allows you to move yourself with your own explosions.
STE00002098	Show Barter Total When Over Sell Limit
STE00002099	Show the total barter amount when the total is more than the merchant's caps.
STE00002100	Allow Aid At Max Health
STE00002101	Allow using stimpaks, super stimpaks and doctors bags when at max health/limb condition.
STE00002102	Stimpaks
STE00002103	Super Stimpaks
STE00002104	Doctors Bags
STE00002105	Barter Quantity Menu Shows Price
STE00002106	Show the total price of the selected quantity menu items when bartering.
STE00002107	Kill Challenge Source Weapon Fix
STE00002108	 weapons that are scripted to directly use the Kill command will not increase the challenges.
STE00002109	Hide No Fast Travel Message
STE00002110	Prevent the sNoFastTravelUndiscovered message when clicking on an undiscovered map marker.
STE00002111	Play Cancel Sound
STE00002112	Prevent No Fast Travel Message
STE00002113	Play the UIMenuCancel sound when trying to click on an undiscovered marker.
STE00002114	Separate Horizontal Sensitivity
STE00002115	Use a separate slider for horizontal/vertical sensitivity in the vanilla controls menu.
STE00002116	Explosions Don't Push Collectible Items
STE00002117	Prevent explosions moving items if they can be taken.
STE00002118	Prevent Visible Stuck Projectile Despawning
STE00002119	Prevent stuck projectiles despawning if you're facing them.
STE00002120	Keep Weapon Visible During Dialogue
STE00002121	Keeps player weapon visible while in dialogue.
STE00002122	NPCs Drop Live Grenades
STE00002123	Crippling/killing an enemy mid-throw causes them to drop the live grenade.
STE00002124	Allow Non-Power Attacks While Sneaking
STE00002125	Allow melee/unarmed non-power attacks while sneaking.
STE00002126	Silent Sneak Power Attacks
STE00002127	Prevent player grunting while using a melee/unarmed power attack if sneaking.
STE00002128	Disarm Requires Skill
STE00002129	   disarmChance = fDisarmMult * (playerSkill + perception - 5) * 100.0F / requiredSkill\nexplodeChance = fExplodeMult * (requiredSkill - playerSkill + (5 - luck)) * 2
STE00002130	Explode Mult
STE00002131	Multiplier applied to instant explosion chance.
STE00002132	Disarm Mult
STE00002133	Multiplier applied to disarm chance.
STE00002134	Toggle POV When Holstering Weapon
STE00002135	Toggle 1st person when reading a weapon, and 3rd when holstering.
STE00002136	Power Attack If Blocking
STE00002137	Remove the melee power attack delay while blocking.
STE00002138	Select Unavailable Radios
STE00002139	Allow selecting unavailable radios to use when back in range.
STE00002140	Radio Static Decreases Song Volume
STE00002141	Make songs quieter when static is playing near the edge of a radio's range.
STE00002142	Radio Keep Song Position Between Saves
STE00002143	If a song is playing on the radio, don't rewind it when loading a save that has the same song playing.
STE00002144	Weapon Impact Effects
STE00002145	Spawn sparks and play impact sounds when equipped/holstered weapons are hit.
STE00002146	Double Jump
STE00002147	Allow jumping in mid-air.
STE00002148	Max Mid-air Jumps
STE00002149	Double Jumping
STE00002150	Max additional jumps.
STE00002151	Mid-air Jump Height Scale
STE00002152	Scale applied to mid-air jumps.
STE00002153	Action Point cost to jump in mid-air.
STE00002154	Jump Sound
STE00002155	Sound played when jumping in mid-air.
STE00002156	Jump Volume
STE00002157	Time (in seconds) after falling where initial jumps don't increase the jump counter.
STE00002158	Mid-air Timer
STE00002159	Keep Fall Height
STE00002160	Don't reset the fall damage height when jumping in mid-air.
STE00002161	Explosion Radius Buff
STE00002162	Make inner 30% of explosion radius deal full damage and minimum damage at radius be 20%.
STE00002163	Inner Radius
STE00002164	Explosion Formula
STE00002165	Radius that deals 100% damage.
STE00002166	Outer Radius Damage
STE00002167	Damage dealt at the outer radius.
STE00002168	Detached Beams
STE00002169	Prevent beam projectiles sticking to the weapon barrel when turning.
STE00002170	Smoother Controller Aiming
STE00002171	Significantly smoothens the right thumbstick deadzone curve for looking around.\nRecommend pairing with bDisableControllerDeadzones.
STE00002172	Allow Binding Duplicate Controls
STE00002173	Allow binding multiple controls to the same button in the vanilla settings menu. The base game swaps the controls around when you try this.
STE00002174	Crippled Legs Scale Jump Height
STE00002175	Scale jump height if legs are crippled.
STE00002176	One Leg Mult
STE00002177	Crippled Jump Height
STE00002178	Jump height scale with one crippled leg.
STE00002179	Two Legs Mult
STE00002180	PipBoy Tab Hotkeys Don't Close Menu
STE00002181	Prevent the pipboy tab hotkeys (F1/F2/F3 by default) closing the pipboy.
STE00002182	Stats Menu Show Skill/SPECIAL Modifiers
STE00002183	Show the value modifier amount in the (+) and (-) for skills, and show skills/specials above 10/100. VUI+ strongly recommended.
STE00002184	Show values above their limits
STE00002185	Improved Stats Menu
STE00002186	Show SPECIALs above 10 and skills above 100.
STE00002187	Lethal Hits Increase Limb Challenges
STE00002188	Increase limb cripple/knockback challenges even if the attack killed the target.
STE00002189	Reloading With No Ammo Swaps Ammo Types
STE00002190	Change ammo types when reloading with no ammo, and when loading a save with no ammo.
STE00002191	Custom Terminal Fade Time
STE00002192	Adjust the time the terminal menu fades out when closed with keyboard/controller.
STE00002193	Fade Length
STE00002194	Terminal Close Fade
STE00002195	Length of time the terminal menu fades for when closed with keyboard/controller.
STE00002196	Main Menu Continue Save Icon
STE00002197	Show the image of the save to load when 'Continue' is hovered at the main menu.
STE00002198	Entering VATS Doesn't Unholster Weapon
STE00002199	Don't unholster weapon when using VATS without selecting a target.
STE00002200	Power Armor Prevents Screen Blood
STE00002201	Prevent screen blood effect if your hit body part is wearing power armor.
STE00002202	Power Armor Scales Limb Damage
STE00002203	Scale limb damage for hits on power armor for the player and NPCs.
STE00002204	Head Scale
STE00002205	Scale applied to head damage while wearing a power armor helmet.
STE00002206	Limb Scale
STE00002207	Scale applied to limb damage while wearing a power armor helmet.
STE00002208	Prevent Hitting Holstered Weapons
STE00002209	Make projectiles pass through NPC holstered weapons.
STE00002210	Prevent hitting unholstered weapons
STE00002211	Shoot Through Weapons
STE00002212	Ignore hitting unholstered weapons (prevents disarming).
STE00002213	Allow Hits In VATS
STE00002214	Allow hitting weapons in VATS.
STE00002215	Hide Quest Item Weight And Value
STE00002216	Hide the weight and value of quest items and keys in the PipBoy.
STE00002217	NPCs Hear Mines Explode
STE00002218	Alert nearby NPCs when mines explode.
STE00002219	Crippled Limb Pain Sound When Falling
STE00002220	Play pain sounds when falling with crippled legs.
STE00002221	Height Threshold
STE00002222	Crippled Limb Fall Pain Sound
STE00002223	Distance fallen to play pain sound/imod if either leg is crippled.
STE00002224	Terminal Grey Read Notes
STE00002225	Grays notes after reading them in the terminal (not retroactive).
STE00002226	Sort Equipable Ammo To Top Of Inventory
STE00002227	Sorts usable ammo to the top of the PipBoy inventory.
STE00002228	Hide Caps Added Messages
STE00002229	Hide item added messages for caps.
STE00002230	Splash Damage Affects Bloody Mess Gibbing
STE00002231	Gives projectile splash damage a chance to trigger bloody mess torso explosions.
STE00002232	Free Wild Wasteland
STE00002233	Allow selecting wild wasteland without using a trait slot.
STE00002234	Invert Camera X
STE00002235	Invert the camera X movement.
STE00002236	Clear Nearby Player Marker
STE00002237	Remove player placed marker when nearby.
STE00002238	Distance
STE00002239	Distance to remove the marker.
STE00002240	Light Step Affects Companions
STE00002241	Give companions light step if player has the perk.
STE00002242	VATS AP Display Includes Reload Cost
STE00002243	Include the cost of a reload (fActionPointsReload gamesetting) when queuing a VATS attack that will cause a reload.
STE00002244	Skip Very Easy Locks At Max Skill
STE00002245	Automatically unlock very easy locks when lockpick skill is maxed.
STE00002246	Multithreaded Hacking Menu
STE00002247	Multithreads the setup of the hacking words list to reduce lag when hacking a terminal.
STE00002248	Mark Notes As Unread
STE00002249	Adds right click to mark a note as unread.
STE00002250	Custom Popup Icons
STE00002251	Adds configurable icons to popup messages.
STE00002252	Radiation Increase
STE00002253	UI Message Icons
STE00002254	Radiation Decrease
STE00002255	Radiation Sick
STE00002256	Radiation Not Sick
STE00002257	Dehydration Increase
STE00002258	Dehydration Decrease
STE00002259	Dehydration Sick
STE00002260	Dehydration Not Sick
STE00002261	Hunger Increase
STE00002262	Hunger Decrease
STE00002263	Hunger Sick
STE00002264	Hunger Not Sick
STE00002265	Sleep Deprivation Increase
STE00002266	Sleep Deprivation Decrease
STE00002267	Sleep Deprivation Sick
STE00002268	Sleep Deprivation Not Sick
STE00002269	Chems Addicted
STE00002270	Prevent Gib Sound When Entering Cells
STE00002271	Prevent body part explosion sounds when entering cells.
STE00002272	Local Map Separate Interior/Exterior Door Icon
STE00002273	Use a separate icon for local map doors which lead to an exterior.
STE00002274	Challenge Menu Icons
STE00002275	Use challenge icons in the pipboy challenges menu (requires a mod that adds icons to the Challenge forms).
STE00002276	Pause Holotapes
STE00002277	Make clicking on the current holotape pause it, double tapping pause resets the holotape.
STE00002278	Improved Weather
STE00002279	Prevent weather changes when fast traveling short distances.
STE00002280	Fast Travel Weather Change Distance Threshold
STE00002281	Minimum fast travel distance for a weather change.
STE00002282	Compass Shows Location Name
STE00002283	Show the name of the nearest location marker you're looking towards.
STE00002284	Hide Undiscovered Names
STE00002285	HUD Marker Name
STE00002286	Whether names of undiscovered locations should be hidden.
STE00002287	Show Distance
STE00002288	Show the distance to the marker.
STE00002289	Off
STE00002290	Meters
STE00002291	Feet
STE00002292	Max Angle
STE00002293	Maximum Angle to show the location name.
STE00002294	Angle Offset
STE00002295	Offset of angle (to adjust for the location icon being off-centered).
STE00002296	-20,
STE00002297	Delay
STE00002298	Delay (in seconds) before the location name is shown.
STE00002299	Scale Ashpile Size
STE00002300	Scale the size of ashpiles depending on actor size - note some creatures such as Bloatflies have large bounds which affects their ashpile size.
STE00002301	Min Scale
STE00002302	Ashpile Scale
STE00002303	Minimum scale applied to ashpiles.
STE00002304	Max Scale
STE00002305	Maximum scale applied to ashpiles.
STE00002306	Target Projectiles in VATS
STE00002307	Allow targeting projectiles in VATS. The percentage hit chance doesn't take the visibility of the projectile into account, only the distance + player skill.
STE00002308	Quickload from Main/Start Menu
STE00002309	Add support for the QuickLoad key in the Main/Pause menus.
STE00002310	Show Quest Objectives On Cell Change
STE00002311	Show quest objectives when changing cells.
STE00002312	Min Interval
STE00002313	Quest Reminders On Cell Change
STE00002314	Prevent showing objectives again within this time (in seconds).
STE00002315	600
STE00002316	Contact Mines
STE00002317	Instantly detonate mines when they are stood on.
STE00002318	Allow Jams While Firing Automatic Weapons
STE00002319	Allow firing anim jams to play while firing an automatic weapon. In vanilla only the first shot can jam. Note that you need to edit the fWeaponConditionJam1/fWeaponConditionJam2... gamesettings to add a chance for any jams while firing.
STE00002320	Click To Exit Load Screens
STE00002321	Require clicking to exit load screens.
STE00002322	Hide Loading Wheel When Finished
STE00002323	Click To Load
STE00002324	Hide the loading wheel when loading is finished.
STE00002325	Load Game Only
STE00002326	Don't require clicking through fast travel/exterior load screens.
STE00002327	Hide Cursor In Message Menu
STE00002328	Hide the cursor in the message popup windows.
STE00002329	Chance Based Killcams
STE00002330	Give a chance the cinematic/player view killcam will play when killing the last of a combat group.
STE00002331	Chance
STE00002332	Killcam
STE00002333	Percentage chance the cinematic/player view killcam will play when killing the last of a combat group.
STE00002334	Keep Quest Update Text Visible In Menus
STE00002335	Keep the quest/location added text visible in the PipBoy and Hacking menus, and while sitting down.
STE00002336	Skip Load Save Confirmation Prompt
STE00002337	Skip the confirmation prompt when loading a save.
STE00002338	Main Menu Only
STE00002339	Skip Load Confirmation
STE00002340	Only skip the confirmation at the main menu.
STE00002341	Color Weapon Condition Label
STE00002342	Allow coloring the weapon low condition label.
STE00002343	Blink Threshold
STE00002344	Weapon Condition Label
STE00002345	Threshold health percent for label to blink.
STE00002346	Color Threshold
STE00002347	Threshold health percent for label to turn red.
STE00002348	Armor Condition Label
STE00002349	Add an armor condition label to the HUD.
STE00002350	Armor Label
STE00002351	HUD Armor Condition
STE00002352	Label shown beside the armor meter.
STE00002353	Weapon Label
STE00002354	Replacement label beside the weapon meter (leave blank to use vanilla string).
STE00002355	Visibility Threshold
STE00002356	Threshold health percent for label to turn visible (set to 0 to disable).
STE00002357	Move Ammo Type Label
STE00002358	Moves the ammo type label to under the ammo count.
STE00002359	Armor DT Prevents Blood Decals
STE00002360	Prevent blood decals for attacks that don't penetrate target DT.
STE00002361	Enemy Healthbar Shows Buffed HP
STE00002362	Include health modifiers in enemy healthbars (e.g. buffout).
STE00002363	Place Marker At Current Position Hotkey
STE00002364	Places the map marker at your current position.
STE00002365	Place Marker Hotkey
STE00002366	Message to show when placing a marker, leave blank for none.
STE00002367	Sound
STE00002368	EditorID of sound to play when placing a marker, leave blank for none.
STE00002369	Sleep On Chairs
STE00002370	Sleep when waiting on chairs.
STE00002371	Sleep Wait Slider Show Wake Time
STE00002372	Show the wake time on the sleep/wait slider instead of hours.
STE00002373	Crippling Doesn't Disarm NPCs
STE00002374	Prevent NPCs dropping their weapons when arms are crippled.
STE00002375	Keep Fall Height When Loading Saves
STE00002376	Prevent fall height being reset when loading a save.
STE00002377	Revive Unconscious Companions
STE00002378	Use stimpaks to revive unconscious companions.
STE00002379	Prompt
STE00002380	Prompt shown when mousing over an unconscious companion.
STE00002381	Unconscious Time
STE00002382	Duration companions stay knocked out. Set to 0 to use the vanilla fEssentialDeathTime gamesetting.
STE00002383	300
STE00002384	Heartbeat Sounds Fade
STE00002385	Fade the volume of heartbeat sounds, reset the volume when taking damage.
STE00002386	Duration
STE00002387	Duration for the sound fading in seconds.
STE00002388	60
STE00002389	Which easing function will be applied to the volume (see easings.net).
STE00002390	Play Armor Sounds In 3D
STE00002391	Play armor foley sounds in 3D when in 3rd person.
STE00002392	Sort Pipboy Repair Menu
STE00002393	Sort the pipboy repair menu alphabetically, placing items equal to the repair item first.
STE00002394	Disable Invisibility In PipBoy
STE00002395	Disable the invisibility effect from stealth boys etc. while the pipboy is open.
STE00002396	Barter Show Caps Change
STE00002397	Show the final caps after a transaction beside player/merchant caps.
STE00002398	Mode
STE00002399	Barter Show Transaction Caps
STE00002400	Text
STE00002401	Show { current -> final } for the caps display.
STE00002402	Brightness
STE00002403	Show the final caps display and adjust the text brightness.
STE00002404	Companions Don't Consume Ammo
STE00002405	Don't remove ammo from companions when they fire weapons.
STE00002406	Ammo Burst Case Count Fix
STE00002407	Give a chance to earn multiple ammo casings from weapons that use more than 1 ammo per shot (e.g. the Tri-Beam laser rifle).
STE00002408	Reallocate Skill Points On LevelUp
STE00002409	Allow reassigning all skill points when leveling up.
STE00002410	Use Weapon Repair Kits In Repair Menu
STE00002411	Show repair kits in the weapon repair menu.
STE00002412	Repair Text
STE00002413	Use Repair Kits In Repair Menu
STE00002414	Text to display instead of 'Repair' if you only have repair kits.
STE00002415	Strength Affects All Throwable Distances
STE00002416	Make the fThrowingStrengthPenalty gamesetting also affect grenades and mines.
STE00002417	Map Remembers Position
STE00002418	Remember the last viewed position in the Map Menu.
STE00002419	Save Persistent
STE00002420	Remember Map Position
STE00002421	Remember the map position for each save.
STE00002422	Map Recenter Hotkey
STE00002423	Add a hotkey to recenter the map menu.
STE00002424	Easing Time
STE00002425	Duration of the recenter movement (in milliseconds).
STE00002426	Map Locations Show Distance
STE00002427	Show the distance to the hovered location marker in the Map Menu.
STE00002428	Display Mode
STE00002429	Map Extra Marker Info
STE00002430	Display mode.
STE00002431	Barter Affects Repair Costs
STE00002432	Scale NPC repair prices based on your barter skill and perk modifiers.
STE00002433	Base Cost
STE00002434	Base cost.
STE00002435	Cost Multiplier
STE00002436	Price decrease per barter point.
STE00002437	0.1
STE00002438	Minimum Cost Multiplier
STE00002439	Minimum multiplier.
STE00002440	Containers Show Equipped Ammo
STE00002441	Show the 'equipped' square beside equipped ammos in containers.
STE00002442	Quantity Menu Respects Companion Carry Limit
STE00002443	Limit the quantity menu max count when transferring items that would overburden a companion.
STE00002444	Tweaks settings
STE00002445	You must restart the game for changes to be applied!
STE00002446	Don't show this again
STE00002447	Storing items here seems unsafe.
STE00002448	Store All
STE00002449	Are you sure you want to take all items?
