STE00000001	No Screenshot Taken Popup
STE00001743	Run & Gun AP In Combat Only
STE00001744	Use the fActionPointsRunAndGunMult in combat only.
STE00001745	Disarming Mines Picks Them Up
STE00001746	Automatically pick up explosives after disarming them.
STE00001747	Crit Chance Ignores Fire Rate
STE00001748	Don't divide crit chance by fire rate for automatic weapons.
STE00001749	Hide Hotkeyed Items In Repair Lists
STE00001750	Hides hotkeyed items in the Pip-Boy repair menu.
STE00001751	Stats Menu Shows Effect Time Remaining
STE00001752	Show the time remaining for effects in the Stats menu (excludes named effects like 'Psycho' or 'Well Rested').
STE00001753	Display In Seconds
STE00001754	Display the time remaining in seconds.
STE00001755	Use Long Ammo Name On HUD
STE00001756	Show the full or Pip-Boy/shorthand name for ammo on the HUD instead of the abbreviation. Requires a UI mod since it clips with the CND bar.
STE00001757	Use Pip-Boy Name
STE00001758	Use the shorthand name for ammo (e.g. 20ga S) instead of the full name of the ammo (e.g. 20 Gauge, Slug).
STE00001759	Per Bullet Looping Reload
STE00001760	Require pressing reload N times to load N rounds for looping reload weapons. e.g. pressing reload twice will load two bullets into a reload loop weapon.
STE00001761	Max Reload Queue Length
STE00001762	Max number of bullets to queue by pressing reload multiple times, set to 0 for no limit.
STE00001763	Number of bullets to queue per reload press.
STE00001764	No Player Stagger Anims
STE00001765	Disable player stagger animations when limbs are crippled.
STE00001766	Console Prints Include Timestamp
STE00001767	Include a timestamp in console messages.
STE00001768	Timestamp Format
STE00001769	Hour Minute Second Millisecond
STE00001770	Scale Player Melee Reach
STE00001771	Scale the distance the player hit with melee weapons.
STE00001772	Reach Multiplier
STE00001773	Multiplier applied to melee weapon range.
STE00001774	Minimum Reach
STE00001775	Minimum reach, set to 0 to have no minimum.
STE00001776	Maximum Reach
STE00001777	Maximum reach, set to 0 to have no maximum.
STE00001778	Player Marker Height Indicator
STE00001779	Add an indicator whether the player placed marker is above or below if the marker is in another cell.
STE00001780	Use Door Icon
STE00001781	Use glow_hud_compass_pc_marker_door.dds for doors.
STE00001782	No Lock Encounter Zone Levels
STE00001783	Don't freeze the level of encounter zones. In the base game visiting a dungeon will permanently cap the level of enemies and loot there to your level. This tweak changes it so that there is no difference in level between entering a new dungeon and a previously visited one.
STE00001784	Changing Container Category Scrolls To Top
STE00001785	Scroll to the top when changing container/barter categories.
STE00001786	More Precise Radiation Meter
STE00001787	Display radiation level to more decimal places.
STE00001788	Format
STE00001789	Format for radiation meter text, supports 0-9 decimal places with %.1f, %.2f etc.
STE00001790	Aiming Unholsters Weapons
STE00001791	Unholster weapons when aiming.
STE00001792	Inventory Alternate Ammo Indicator
STE00001793	Show a + beside ammo count in inventory menus if you have any alternate ammos.
STE00001794	Reload While Firing
STE00001795	Allow reloading while firing anims play.
STE00001796	Repair Scales Crafting Condition
STE00001797	Scale initial health of crafted items based on repair skill.
STE00001798	Scale Explosion Shake
STE00001799	Scale the camera/HUD shake caused by explosions.
STE00001800	Camera Shake Mult
STE00001801	Multiplier applied to camera shake.
STE00001802	HUD Shake Mult
STE00001803	Multiplier applied to HUD shake.
STE00001804	Mark Nearby Locations On Map
STE00001805	Permanently reveal nearby locations markers on the Pip-Boy map (as if an NPC had given you the marker).
STE00001806	Radius
STE00001807	Radius of circle around player to add markers. If you want them to be added when they appear on the compass, set this to the value of the iMapMarkerVisibleDistance gamesetting (default is 20000)
STE00001808	Prevent Stealing Caps After Repair
STE00001809	Place caps in merchant containers instead of their inventory when using repair services.
STE00001810	Destroy caps if vendor has no container
STE00001811	Destroy the caps if the merchant has no vendor container, otherwise they are given to the actor
STE00001812	Prevent NPC Comments
STE00001813	Prevent NPCs commenting when you knock over objects, look at locked containers etc.
STE00001814	Prevented Topic Flags
STE00001815	Hexadecimal value containing the sum of all the desired flags. e.g. 0x880 would prevent KnockOverObject and LockedTerminalOrContainerInCrosshair. See the readme for available flags.
STE00001816	Companions Use Location Font On Map
STE00001817	Use the same font as locations for companions on the map. Vanilla is hardcoded to use font 2.
STE00001818	Remove Queued Cripple/Critical Messages For Dead NPCs
STE00001819	Remove queued cripple/critical messages for dead NPCs. This prevents the spam of 'Limb crippled...' after a target dies from explosions for example.
STE00001820	Show 'Use Password' On Terminals With Password Note
STE00001821	Show '[Locked - Use Password]' on terminals if you have the password note. Additionally marks terminals as unlocked once you've opened them with the note.
STE00001822	Prompt string
STE00001823	Prompt when you already have the terminal's password note, [Locked - sUsePassword].
STE00001824	Hide Read Notes
STE00001825	Hide notes that have been read already in the notes menu.
STE00001826	Explosion Knockback Direction Fix
STE00001827	Push targets away from explosions instead of the actor who created them. This also allows you to move yourself with your own explosions.
STE00001828	Show Barter Total When Over Sell Limit
STE00001829	Show the total barter amount when the total is more than the merchant's caps.
STE00001830	Allow Aid At Max Health
STE00001831	Allow using stimpaks, super stimpaks and doctors bags when at max health/limb condition.
STE00001832	Stimpaks
STE00001833	Super Stimpaks
STE00001834	Doctors Bags
STE00001835	Quantity Menu Shows Barter Price
STE00001836	Show the total price of the selected quantity menu items when bartering.
STE00001837	Quantity Menu Shows Item Weight
STE00001838	Show the total weight of the selected quantity menu items in containers.
STE00001839	Kill Challenge Source Weapon Fix
STE00001840	Use the last weapon that damaged an NPC instead of the currently equipped weapon for kill challenges. This means that using grenades will correctly increase their kill challenges. Note: weapons that are scripted to directly use the Kill command will not increase the challenges.
STE00001841	Hide No Fast Travel Message
STE00001842	Prevent the sNoFastTravelUndiscovered message when clicking on an undiscovered map marker.
STE00001843	Play Cancel Sound
STE00001844	Play the UIMenuCancel sound when trying to click on an undiscovered marker.
STE00001845	Separate Horizontal Sensitivity
STE00001846	Use a separate slider for horizontal/vertical sensitivity in the vanilla controls menu.
STE00001847	Explosions Don't Push Collectible Items
STE00001848	Prevent explosions moving items if they can be taken.
STE00001849	Prevent Visible Stuck Projectile Despawning
STE00001850	Prevent stuck projectiles despawning if you're facing them.
STE00001851	Keep Weapon Visible During Dialogue
STE00001852	Keeps player weapon visible while in dialogue.
STE00001853	NPCs Drop Live Grenades
STE00001854	Crippling/killing an enemy mid-throw causes them to drop the live grenade.
STE00001855	Allow Non-Power Attacks While Sneaking
STE00001856	Allow melee/unarmed non-power attacks while sneaking - requires separate anims.
STE00001857	Silent Sneak Power Attacks
STE00001858	Prevent player grunting while using a melee/unarmed power attack if sneaking.
STE00001859	Disarm Requires Skill
STE00001860	Add random chance mines will not disarm or explode instantly based on the weapon's skill requirements. If a disarm fails, there's a chance the mine will instantly explode.[CRLF]Formula:   disarmChance = fDisarmMult * (playerSkill + perception - 5) * 100.0F / requiredSkill[CRLF]explodeChance = fExplodeMult * (requiredSkill - playerSkill + (5 - luck)) * 2
STE00001861	Explode Mult
STE00001862	Multiplier applied to instant explosion chance.
STE00001863	Disarm Mult
STE00001864	Multiplier applied to disarm chance.
STE00001865	Toggle POV When Holstering Weapon
STE00001866	Toggle 1st person when readying a weapon, and 3rd when holstering.
STE00001867	Power Attack If Blocking
STE00001868	Remove the melee power attack delay while blocking.
STE00001869	Only If Blocking
STE00001870	Only allow power attacks when blocking.
STE00001871	Select Unavailable Radios
STE00001872	Allow selecting unavailable radios to use when back in range.
STE00001873	Radio Static Decreases Song Volume
STE00001874	Make songs quieter when static is playing near the edge of a radio's range.
STE00001875	Radio Keep Song Position Between Saves
STE00001876	If a song is playing on the radio, don't rewind it when loading a save that has the same song playing.
STE00001877	Weapon Impact Effects
STE00001878	Spawn sparks and play impact sounds when equipped/holstered weapons are hit.
STE00001879	Explosion Radius Buff
STE00001880	Make inner 30% of explosion radius deal full damage and minimum damage at radius be 20%.
STE00001881	Inner Radius
STE00001882	Radius that deals 100% damage.
STE00001883	Outer Radius Damage
STE00001884	Damage dealt at the outer radius.
STE00001885	Damage dealt affects the player.
STE00001886	Detached Beams
STE00001887	Prevent beam projectiles sticking to the weapon barrel when turning.
STE00001888	Smoother Controller Aiming
STE00001889	Significantly smoothens the right thumbstick deadzone curve for looking around.[CRLF]Recommend pairing with bDisableControllerDeadzones.
STE00001890	Allow Binding Duplicate Controls
STE00001891	Allow binding multiple controls to the same button in the vanilla settings menu. The base game swaps the controls around when you try this.
STE00001892	Crippled Legs Scale Jump Height
STE00001893	Scale jump height if legs are crippled.
STE00001894	One Leg Mult
STE00001895	Jump height scale with one crippled leg.
STE00001896	Two Legs Mult
STE00001897	Pip-Boy Tab Hotkeys Don't Close Menu
STE00001898	Prevent the Pip-Boy tab hotkeys (F1/F2/F3 by default) closing the Pip-Boy.
STE00001899	Stats Menu Show Skill/SPECIAL Modifiers
STE00001900	Show the value modifier amount in the (+) and (-) for skills, and show skills/specials above 10/100. VUI+ strongly recommended.
STE00001901	Show values above their limits
STE00001902	Show SPECIALs above 10 and skills above 100.
STE00001903	Lethal Hits Increase Limb Challenges
STE00001904	Increase limb cripple/knockback challenges even if the attack killed the target.
STE00001905	Reloading With No Ammo Swaps Ammo Types
STE00001906	Change ammo types when reloading with no ammo, and when loading a save with no ammo.
STE00001907	Custom Terminal Fade Time
STE00001908	Adjust the time the terminal menu fades out when closed with keyboard/controller.
STE00001909	Fade Length
STE00001910	Length of time the terminal menu fades for when closed with keyboard/controller.
STE00001911	Main Menu Continue Save Icon
STE00001912	Show the image of the save to load when 'Continue' is hovered at the main menu.
STE00001913	Entering VATS Doesn't Unholster Weapon
STE00001914	Don't unholster weapon when using VATS without selecting a target.
STE00001915	Power Armor Prevents Screen Blood
STE00001916	Prevent screen blood effect if your hit body part is wearing power armor.
STE00001917	Power Armor Scales Limb Damage
STE00001918	Scale limb damage for hits on power armor for the player and NPCs.
STE00001919	Head Scale
STE00001920	Scale applied to head damage while wearing a power armor helmet.
STE00001921	Limb Scale
STE00001922	Scale applied to limb damage while wearing a power armor helmet.
STE00001923	Mode
STE00001924	NPC
STE00001925	Player
STE00001926	All
STE00001927	Prevent Hitting Holstered Weapons
STE00001928	Make projectiles pass through NPC holstered weapons.
STE00001929	Prevent hitting unholstered weapons
STE00001930	Ignore hitting unholstered weapons (prevents disarming).
STE00001931	Allow Hits In VATS
STE00001932	Allow hitting weapons in VATS.
STE00001933	Hide Quest Item Weight And Value
STE00001934	Hide the weight and value of quest items and keys in the Pip-Boy.
STE00001935	NPCs Hear Mines Explode
STE00001936	Alert nearby NPCs when mines explode.
STE00001937	Crippled Limb Pain Sound When Falling
STE00001938	Play pain sounds when falling with crippled legs.
STE00001939	Height Threshold
STE00001940	Distance fallen to play pain sound/imod if either leg is crippled.
STE00001941	Terminal Grey Read Notes
STE00001942	Grays notes after reading them in the terminal (not retroactive).
STE00001943	Sort Equipable Ammo To Top Of Inventory
STE00001944	Sorts usable ammo to the top of the Pip-Boy inventory. Not compatible with yUI/ySI.
STE00001945	Hide Caps Added Messages
STE00001946	Hide item added messages for caps.
STE00001947	Splash Damage Affects Bloody Mess Gibbing
STE00001948	Gives projectile splash damage a chance to trigger bloody mess torso explosions.
STE00001949	Free Wild Wasteland
STE00001950	Allow selecting wild wasteland without using a trait point.
STE00001951	Invert Camera X
STE00001952	Invert the camera X movement.
STE00001953	Clear Nearby Player Marker
STE00001954	Remove player placed marker when nearby.
STE00001955	Distance
STE00001956	Distance to remove the marker.
STE00001957	Light Step Affects Companions
STE00001958	Give companions light step if player has the perk.
STE00001959	VATS AP Display Includes Reload Cost
STE00001960	Include the cost of a reload (fActionPointsReload gamesetting) when queuing a VATS attack that will cause a reload.
STE00001961	Skip Locks At High Skill
STE00001962	Automatically unlock locks when lockpick skill is high enough.
STE00001963	Reward Scale
STE00001964	Scale applied to the vanilla XP gained based on the lock level.
STE00001965	Delta
STE00001966	Required additional skill above the lock level to automatically unlock it.
STE00001967	Multithreaded Hacking Menu
STE00001968	Multithreads the setup of the hacking words list to reduce lag when hacking a terminal.
STE00001969	Mark Notes As Unread
STE00001970	Adds right click to mark a note as unread.
STE00001971	Custom Popup Icons
STE00001972	Adds configurable icons to popup messages.
STE00001973	Radiation Increase
STE00001974	Radiation Decrease
STE00001975	Radiation Sick
STE00001976	Radiation Not Sick
STE00001977	Dehydration Increase
STE00001978	Dehydration Decrease
STE00001979	Dehydration Sick
STE00001980	Dehydration Not Sick
STE00001981	Hunger Increase
STE00001982	Hunger Decrease
STE00001983	Hunger Sick
STE00001984	Hunger Not Sick
STE00001985	Sleep Deprivation Increase
STE00001986	Sleep Deprivation Decrease
STE00001987	Sleep Deprivation Sick
STE00001988	Sleep Deprivation Not Sick
STE00001989	Chems Addicted
STE00001990	Prevent Gib Sound When Entering Cells
STE00001991	Prevent body part explosion sounds when entering cells.
STE00001992	Local Map Separate Interior/Exterior Door Icon
STE00001993	Use a separate icon for local map doors which lead to an exterior.
STE00001994	Challenge Menu Icons
STE00001995	Use challenge icons in the Pip-Boy challenges menu (requires a mod that adds icons to the Challenge forms).
STE00001996	Pause Holotapes
STE00001997	Make clicking on the current holotape pause it, double tapping pause resets the holotape.
STE00001998	Pause In Dialog Menu
STE00001999	Pause holotapes while the Dialog menu is open.
STE00002000	Improved Weather
STE00002001	Prevent weather changes when fast traveling short distances.
STE00002002	Fast Travel Weather Change Distance Threshold
STE00002003	Minimum fast travel distance for a weather change.
STE00002004	Compass Shows Location Name
STE00002005	Show the name of the nearest location marker you're looking towards.
STE00002006	Hide Undiscovered Names
STE00002007	Whether names of undiscovered locations should be hidden.
STE00002008	Show Distance
STE00002009	Show the distance to the marker.
STE00002010	Off
STE00002011	Meters
STE00002012	Feet
STE00002013	Max Angle
STE00002014	Maximum Angle to show the location name.
STE00002015	Angle Offset
STE00002016	Offset of angle (to adjust for the location icon being off-centered).
STE00002017	Delay
STE00002018	Delay (in seconds) before the location name is shown.
STE00002019	Show Player Markers
STE00002020	Show distance to the player placed marker.
STE00002021	Name when viewing player placed marker.
STE00002022	Scale Ashpile Size
STE00002023	Scale the size of ashpiles depending on actor size - note some creatures such as Bloatflies have large bounds which affects their ashpile size.
STE00002024	Min Scale
STE00002025	Minimum scale applied to ashpiles.
STE00002026	Max Scale
STE00002027	Maximum scale applied to ashpiles.
STE00002028	Target Projectiles in VATS
STE00002029	Allow targeting projectiles in VATS. The percentage hit chance doesn't take the visibility of the projectile into account, only the distance + player skill.
STE00002030	Allow targeting mines
STE00002031	Quickload from Main/Start Menu
STE00002032	Add support for the QuickLoad key in the Main/Pause menus.
STE00002033	Show Quest Objectives On Cell Change
STE00002034	Show quest objectives when changing cells.
STE00002035	Min Interval
STE00002036	Prevent showing objectives again within this time (in seconds).
STE00002037	Contact Mines
STE00002038	Instantly detonate mines when they are stood on.
STE00002039	Allow Jams While Firing Automatic Weapons
STE00002040	Allow firing anim jams to play while firing an automatic weapon. In vanilla only the first shot can jam. Note that you need to edit the fWeaponConditionJam1/fWeaponConditionJam2... gamesettings to add a chance for any jams while firing.
STE00002041	Click To Exit Load Screens
STE00002042	Require clicking to exit load screens.
STE00002043	Hide Loading Wheel When Finished
STE00002044	Hide the loading wheel when loading is finished.
STE00002045	Load Game Only
STE00002046	Don't require clicking through fast travel/exterior load screens.
STE00002047	Hide Cursor In Message Menu
STE00002048	Hide the cursor in the message popup windows.
STE00002049	Chance Based Killcams
STE00002050	Give a chance the cinematic/player view killcam will play when killing the last of a combat group.
STE00002051	Chance
STE00002052	Percentage chance the cinematic/player view killcam will play when killing the last of a combat group.
STE00002053	Keep Quest Update Text Visible In Menus
STE00002054	Keep the quest/location added text visible in the Pip-Boy and Hacking menus, and while sitting down.
STE00002055	Skip Load Save Confirmation Prompt
STE00002056	Skip the confirmation prompt when loading a save.
STE00002057	Main Menu Only
STE00002058	Only skip the confirmation at the main menu.
STE00002059	Color Weapon Condition Label
STE00002060	Allow coloring the weapon low condition label.
STE00002061	Blink Threshold
STE00002062	Threshold health percent for label to blink.
STE00002063	Color Threshold
STE00002064	Threshold health percent for label to turn red.
STE00002065	Armor Condition Label
STE00002066	Add an armor condition label to the HUD.
STE00002067	Armor Label
STE00002068	Label shown beside the armor meter.
STE00002069	Weapon Label
STE00002070	Replacement label beside the weapon meter (leave blank to use vanilla string).
STE00002071	Visibility Threshold
STE00002072	Threshold health percent for label to turn visible (set to 0 to disable).
STE00002073	Label X Offset
STE00002074	Offset applied to the X position of the armor condition label.
STE00002075	Label Y Offset
STE00002076	Offset applied to the Y position of the armor condition label.
STE00002077	Use Weapon Pos
STE00002078	Use weapon label position if no weapon is equipped.
STE00002079	Align With Weapon Condition
STE00002080	Use weapon label x position if an alternate ammo type is equipped.
STE00002081	Move Ammo Type Label
STE00002082	Moves the ammo type label to under the ammo count.
STE00002083	Armor DT Prevents Blood Decals
STE00002084	Prevent blood decals for attacks that don't penetrate target DT.
STE00002085	Enemy Healthbar Shows Buffed HP
STE00002086	Include health modifiers in enemy healthbars (e.g. buffout).
STE00002087	Place Marker At Current Position Hotkey
STE00002088	Places the map marker at your current position.
STE00002089	Message to show when placing a marker, leave blank for none.
STE00002090	Sound
STE00002091	EditorID of sound to play when placing a marker, leave blank for none.
STE00002092	Sleep On Chairs
STE00002093	Sleep when waiting on chairs.
STE00002094	Sleep Wait Slider Show Wake Time
STE00002095	Show the wake time on the sleep/wait slider instead of hours.
STE00002096	Crippling Doesn't Disarm NPCs
STE00002097	Prevent NPCs dropping their weapons when arms are crippled.
STE00002098	Keep Fall Height When Loading Saves
STE00002099	Prevent fall height being reset when loading a save.
STE00002100	Revive Unconscious Companions
STE00002101	Use stimpaks to revive unconscious companions.
STE00002102	Prompt
STE00002103	Prompt shown when mousing over an unconscious companion.
STE00002104	Unconscious Time
STE00002105	Duration companions stay knocked out. Set to 0 to use the vanilla fEssentialDeathTime gamesetting.
STE00002106	Revive When Changing Cells
STE00002107	Automatically revive companions when changing cells.
STE00002108	Heartbeat Sounds Fade
STE00002109	Fade the volume of heartbeat sounds, reset the volume when taking damage.
STE00002110	Duration
STE00002111	Duration for the sound fading in seconds.
STE00002112	Easing function
STE00002113	Which easing function will be applied to the volume (see easings.net).
STE00002114	None
STE00002115	OutSine
STE00002116	OutCirc
STE00002117	InOutSine
STE00002118	InOutCirc
STE00002119	OutQuart
STE00002120	InOutQuart
STE00002121	OutCubic
STE00002122	Play Armor Sounds In 3D
STE00002123	Play armor foley sounds in 3D when in 3rd person.
STE00002124	Sort Pip-Boy Repair Menu
STE00002125	Sort the Pip-Boy repair menu alphabetically, placing items equal to the repair item first.
STE00002126	Sort Mode
STE00002127	Value/Weight
STE00002128	Equal To Repair Target First
STE00002129	Whether items matching the repair target should be shown first.
STE00002130	Disable Invisibility In Pip-Boy
STE00002131	Disable the invisibility effect from stealth boys etc. while the Pip-Boy is open.
STE00002132	Barter Show Caps Change
STE00002133	Show the final caps after a transaction beside player/merchant caps.
STE00002134	Text
STE00002135	Show { current -> final } for the caps display.
STE00002136	Brightness
STE00002137	Show the final caps display and adjust the text brightness.
STE00002138	Companions Don't Consume Ammo
STE00002139	Don't remove ammo from companions when they fire weapons.
STE00002140	Ammo Burst Case Count Fix
STE00002141	Give a chance to earn multiple ammo casings from weapons that use more than 1 ammo per shot (e.g. the Tri-Beam laser rifle).
STE00002142	Reallocate Skill Points On LevelUp
STE00002143	Allow reassigning all skill points when leveling up.
STE00002144	Use Weapon Repair Kits In Repair Menu
STE00002145	Show repair kits in the weapon repair menu.
STE00002146	Repair Text
STE00002147	Text to display instead of 'Repair' if you only have repair kits.
STE00002148	Strength Affects All Throwable Distances
STE00002149	Make the fThrowingStrengthPenalty gamesetting also affect grenades and mines.
STE00002150	Map Remembers Position
STE00002151	Remember the last viewed position in the Map Menu.
STE00002152	Save Persistent
STE00002153	Remember the map position for each save.
STE00002154	Map Recenter Hotkey
STE00002155	Add a hotkey to recenter the map menu.
STE00002156	Easing Time
STE00002157	Duration of the recenter movement (in milliseconds).
STE00002158	Which easing function will be applied to the movement (see easings.net).
STE00002159	Map Locations Show Distance
STE00002160	Show the distance to the hovered location marker in the Map Menu.
STE00002161	Display Mode
STE00002162	Display mode.
STE00002163	Real Time
STE00002164	Game Time
STE00002165	Time Mult
STE00002166	Multiplier applied to the displayed times. You can modify this if you feel the times are inaccurate (e.g. if you use sprint mods and spend most time sprinting)
STE00002167	Distance Mult
STE00002168	Multiplier applied to the displayed distances. You can modify this if you feel the distances are unrealistic.
STE00002169	Barter Affects Repair Costs
STE00002170	Scale NPC repair prices based on your barter skill and perk modifiers.
STE00002171	Base Cost
STE00002172	Base cost.
STE00002173	Cost Multiplier
STE00002174	Price decrease per barter point.
STE00002175	Minimum Cost Multiplier
STE00002176	Minimum multiplier.
STE00002177	Containers Show Equipped Ammo
STE00002178	Show the 'equipped' square beside equipped ammos in containers.
STE00002179	Quantity Menu Respects Companion Carry Limit
STE00002180	Limit the quantity menu max count when transferring items that would overburden a companion.
STE00002181	Show Voice Acting Notes in Dialogue
STE00002182	Display the voice acting notes e.g. {afterthought} in dialogue.
STE00002183	Melee Impact Effects Follow Target
STE00002184	Make melee blood decals follow the target instead of floating in midair.
STE00002185	Location Discovered Corner Message
STE00002186	Display the location discovered text as a corner message as in Fallout 3.
STE00002187	Race Menu Allow Female Facial Hair
STE00002188	Allow selecting facial hair on female characters in the Race menu.
STE00002189	Console Print New Mods On Load
STE00002190	Print which mods are new when loading a save created without them.
STE00002191	Custom Location Discovered Sound
STE00002192	Customize the sound played when discovering a location.
STE00002193	Sound Editor ID
STE00002194	Editor ID of the sound to play when discovering a location.
STE00002195	VATS Allow Targeting Player Projectiles
STE00002196	Allow targeting projectiles created by the player in VATS.
STE00002197	Blackjack Total Display
STE00002198	Show a display of your hand values in BlackJack.
STE00002199	Capitalize Recipe Menu Categories
STE00002200	Show recipe menu categories in full caps.
STE00002201	Perks Affect Fist Weapon Speed
STE00002202	Allow weapon attack speed perks to affect the unarmed fists weapon.
STE00002203	Key Repeat Acceleration
STE00002204	Scroll faster after holding the key for some time.
STE00002205	Delay before multiplier is applied.
STE00002206	Rate Multiplier
STE00002207	Multiplier applied to scrolling speed.
STE00002208	Alternate Delay
STE00002209	Delay before the second multiplier is applied.
STE00002210	Alternate Rate Multiplier
STE00002211	VATS Dequeue Weapon Shots On Disarm
STE00002212	Remove queued VATS attacks on NPC weapons if they get disarmed.
STE00002213	Queue Semi-Automatic Shots
STE00002214	Queue the next shot for semi-automatic weapons if the trigger is pulled within a specified time frame before the current shot is completed.
STE00002215	Queue Period Before Anim End
STE00002216	Time window (in seconds) before a weapon's firing animation ends during which the next shot can be pre-queued. Vanilla is 0.5 seconds.
STE00002217	Queue Period Before Anim 'Attack' key
STE00002218	Time window (in seconds) before the weapon's firing animation 'a: key' where the next shot can be pre-queued. Vanilla is 0 seconds (not a feature).
STE00002219	Show Caravan Cards In Misc Tabs
STE00002220	Show caravan cards in the misc tab for containers and barter.
STE00002221	Subtitles Show Speaker's Name
STE00002222	Show the speaker's name in subtitles.
STE00002223	Perks Show Source Mod
STE00002224	Show the source mod of perks in the perk menu.
STE00002225	Prefix
STE00002226	Prefix shown before the mod name.
STE00002227	Lockpick Remembers Bobby Pin Angle
STE00002228	Don't reset the bobby pin angle when it breaks.
STE00002229	NPCs Take Limb Fall Damage
STE00002230	Make NPCs take limb damage when falling.
STE00002231	Fall Deaths Cause Dismemberment
STE00002232	Dismember/explode actor's legs if they die from a short/long fall.
STE00002233	Controller Trigger Deadzone
STE00002234	Adds a configurable deadzone for LT/RT if used for the attack control.
STE00002235	Left Trigger Deadzone
STE00002236	Deadzone for the left trigger (0-255)
STE00002237	Right Trigger Deadzone
STE00002238	Deadzone for the right trigger (0-255)
STE00002239	Extended Lockpick Sweet Spot Range
STE00002240	Expands the lockpick sweetspot range to the edges of the screen.
STE00002241	Container Encumbrance Indicator
STE00002242	Show container weight in red if taking an item will overencumber you.
STE00002243	Prevent Companion Footstep Sounds
STE00002244	Prevent companion footstep sounds playing.
STE00002245	Weapon Modding Skill Requirement
STE00002246	Prevent modding weapons if you don't meet the weapon's skill requirements.
STE00002247	Power Armor Prevents Environment Radiation
STE00002248	Prevent environmental radiation when wearing full power armor.
STE00002249	Changing Pip-Boy Tabs Vibrates Controllers
STE00002250	Vibrate controllers when changing Pip-Boy tabs.
STE00002251	Target Held Explosives
STE00002252	Allow fragging unplayable explosives NPCs have equipped, e.g. Ghost People's Gas Tanks.
STE00002253	Planting Live Grenades Requires Weapon Skill
STE00002254	Prevent reverse pickpocketing live grenades if you don't meet the weapon skill requirements.
STE00002255	Display Item Effect Totals
STE00002256	Show item effect totals in the Pip-Boy e.g. HP +26(3s) -> HP +78 (26x3s).
STE00002257	Disable Inventory Right Click Drop
STE00002258	Prevent right clicking dropping items in the Pip-Boy.
STE00002259	No Hotkey Equip Sounds
STE00002260	Prevent equip/unequip sounds when using weapon hotkeys.
STE00002261	No Companion Item Damage
STE00002262	Prevent companion items taking damage.
STE00002263	Auto Unlock Terminals
STE00002264	Automatically skip the hacking minigame if your science skill is over the terminal's science requirement.
STE00002265	Reloading Prevents Weapon Hotkeys
STE00002266	Prevent using weapon hotkeys while reloading.
STE00002267	Timescale Affects Minigames
STE00002268	Scale minigame speed by the global time multiplier.
STE00002269	Water Sources Show H2O
STE00002270	Show the H2O restored instead of HP when viewing water sources.
STE00002271	Require the shift key to be held to view the H2O restored.
STE00002272	Tab Closes Pipboy From Key And Limb Menus
STE00002273	Make tab close the pipboy from within the Inventory keys and Stats limb selection submenus.
STE00002274	Summon Companions In Map Menu
STE00002275	Allow clicking on hired companions in the map to summon them.
STE00002276	Summon All Text
STE00002277	Text shown on the summon all button when you have multiple companions.
STE00002278	Allow summoning unconsious
STE00002279	Allow summoning unconsious companions.
STE00002280	Endurance Scales Min Fall Height
STE00002281	Scale player minimum fall damage height by endurance. Formula: fJumpFallHeightMin * (1 + (fBaseBonus + (endurance - 5) * fEnduranceMult))
STE00002282	Base Bonus
STE00002283	Base height multiplier bonus.
STE00002284	Endurance multiplier
STE00002285	Fall height multiplier per endurance point over 5.
STE00002286	Jump Swims Upwards
STE00002287	Make jumping swim upwards while underwater.
STE00002288	Speed Scale
STE00002289	Speed of up/downwards movement.
STE00002290	Float During Autowalk
STE00002291	Automatically swim upwards if automove is enabled.
STE00002292	Armor Causes Sinking
STE00002293	Make player sink if armor is heavy.
STE00002294	Heavy Rate
STE00002295	Medium Rate
STE00002296	Light Rate
STE00002297	No Armor Rate
STE00002298	Stats Menu Shows Reputation Fame/Infamy
STE00002299	Show fame and infamy values in the stats menu.
STE00002300	Show Percentage
STE00002301	Show fame/infamy as a percentage of the max reputation.
STE00002302	Fame
STE00002303	Name for Fame stat.
STE00002304	Infamy
STE00002305	Name for Infamy stat.
STE00002306	Repair All Confirmation
STE00002307	Add a confirmation when selecting 'Repair All' in the repair services menu.
STE00002308	Price Threshold
STE00002309	Repairs costing less than this amount won't ask for confirmation.
STE00002310	Confirmation Message
STE00002311	Prevent NPC Addiction
STE00002312	Prevent NPCs gaining addiction status effects.
STE00002313	No Dialogue Zoom
STE00002314	Prevent the camera zooming in when entering dialogue.
STE00002315	Separate Alcohol Effects
STE00002316	Allow using different alcohols to stack their effects.
STE00002317	God Mode Prevents Jam Anims
STE00002318	Prevent player weapon jam anims in godmode.
STE00002319	Scale Weapon Volume
STE00002320	Allow scaling player/npc weapon fire sound volume.
STE00002321	Player Volume
STE00002322	Scale applied to player weapon fire sounds.
STE00002323	Non-Player Volume
STE00002324	Scale applied to NPC weapon fire sounds.
STE00002325	Exploding Destructible Indicator
STE00002326	Show explosive destructibles on the grenade indicator.
STE00002327	VATS Ignore Non-explosive Projectiles
STE00002328	Prevent targeting non-explosive projectiles in VATS.
STE00002329	Sleep Healing Min Duration
STE00002330	Require sleeping for some time before health is restored on unowned beds.
STE00002331	Min Duration
STE00002332	Minimum sleep hours before player is healed.
STE00002333	Misc Stat Requires Sleep Duration
STE00002334	Only increase the 'times slept' misc stat if you sleep for the min duration.
